timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-06-30,14369.0,14610.0,5400.0,14504.0,49275.41,1593561599999,708149793.44,268,24647.68,353674600.27,0
2020-07-01,14539.0,14609.0,14300.0,14368.0,70821.57,1593647999999,1022797134.67,654,28724.15,414380183.2,0
2020-07-02,14428.0,14570.0,14362.0,14505.0,40137.82,1593734399999,581173194.33,581,14555.3,210776363.66,0
2020-07-03,14509.0,14614.0,14454.0,14612.0,75596.38,1593820799999,1101247995.38,137,69920.65,1018779574.6,0
2020-07-04,14607.0,14641.0,14541.0,14629.0,18260.19,1593907199999,266705696.83,88,14599.85,213407253.57,0
2020-07-05,14573.0,14641.0,14571.0,14571.0,21066.87,1593993599999,307822525.47,90,20349.57,297367090.21,0
2020-07-06,14600.0,14620.0,14334.0,14410.0,56630.13,1594079999999,817246788.91,266,18603.83,269074786.9,0
2020-07-07,14392.0,14510.0,14350.0,14399.0,43313.26,1594166399999,625643879.45,351,9944.54,143557189.39,0
2020-07-08,14399.0,14449.0,14188.0,14314.0,98089.59,1594252799999,1405145840.99,325,36035.17,516814923.93,0
2020-07-09,14233.0,14493.0,14197.0,14363.0,46094.3,1594339199999,663233217.63,223,29890.44,430592449.32,0
2020-07-10,14417.0,14531.0,14289.0,14322.0,44537.61,1594425599999,642566699.15,209,21144.75,305391028.75,0
2020-07-11,14411.0,14427.0,14296.0,14296.0,10723.13,1594511999999,154206768.09,105,3416.38,49123823.32,0
2020-07-12,14357.0,14415.0,14311.0,14324.0,13967.26,1594598399999,200363285.16,311,4854.63,69723820.7,0
2020-07-13,14357.0,14480.0,14251.0,14306.0,699439.66,1594684799999,10052401864.54,1348,605432.08,8703731666.16,0
2020-07-14,14306.0,14480.0,14275.0,14425.0,55277.76,1594771199999,795700759.86,448,41572.99,598670250.82,0
2020-07-15,14382.0,14512.0,14333.0,14503.0,44532.39,1594857599999,644487351.05,292,34094.0,493604013.42,0
2020-07-16,14503.0,14755.0,14480.0,14634.0,101654.69,1594943999999,1487726958.94,458,53727.5,786516146.59,0
2020-07-17,14637.0,14743.0,14569.0,14691.0,33205.85,1595030399999,487207808.53,284,9368.53,137638097.97,0
2020-07-18,14691.0,14751.0,14635.0,14636.0,25657.67,1595116799999,377098975.72,231,10998.1,161924511.61,0
2020-07-19,14637.0,14719.0,14601.0,14618.0,18695.64,1595203199999,273808946.18,322,9016.82,132268277.85,0
2020-07-20,14617.0,14922.0,14554.0,14687.0,113630.79,1595289599999,1674162202.0,486,69189.77,1021290022.88,0
2020-07-21,14705.0,14810.0,14615.0,14622.0,87011.69,1595375999999,1280140410.14,291,37465.7,551662869.38,0
2020-07-22,14700.0,14722.0,14586.0,14640.0,54749.19,1595462399999,802745420.79,304,9924.18,145780766.04,0
2020-07-23,14640.0,14700.0,14444.0,14550.0,41943.67,1595548799999,611566787.28,388,12620.54,184553850.69,0
2020-07-24,14580.0,14700.0,14545.0,14683.0,33033.83,1595635199999,482992007.26,289,15782.62,231636786.57,0
2020-07-25,14683.0,14695.0,14501.0,14593.0,77202.09,1595721599999,1125787689.81,1324,47349.21,691126933.38,0
2020-07-26,14593.0,14651.0,14439.0,14528.0,159153.2,1595807999999,2316545753.7,2856,70798.88,1032350447.32,0
2020-07-27,14456.0,14634.0,14402.0,14519.0,132375.33,1595894399999,1921329838.7,1804,49801.3,724124642.55,0
2020-07-28,14519.0,14650.0,14411.0,14547.0,113821.38,1595980799999,1657319582.31,7367,51175.88,746501564.09,0
2020-07-29,14456.0,14647.0,14456.0,14589.0,82601.62,1596067199999,1203923547.45,3471,29462.74,429866708.43,0
2020-07-30,14551.0,14729.0,14450.0,14602.0,122083.63,1596153599999,1787870312.86,5805,70274.93,1029881604.72,0
2020-07-31,14600.0,14684.0,14568.0,14595.0,94900.91,1596239999999,1388621060.22,5141,45967.33,672934837.84,0
2020-08-01,14595.0,14672.0,14476.0,14550.0,108813.68,1596326399999,1582920129.32,5640,49996.34,728188648.53,0
2020-08-02,14511.0,14687.0,14436.0,14614.0,113284.72,1596412799999,1650966749.44,4224,57848.24,845276404.08,0
2020-08-03,14614.0,14748.0,14532.0,14660.0,114245.6,1596499199999,1677117214.98,7238,64044.82,940673077.98,0
2020-08-04,14659.0,14720.0,14519.0,14609.0,111250.32,1596585599999,1629908562.09,4433,54627.62,800900335.38,0
2020-08-05,14607.0,14670.0,14482.0,14574.0,123984.8,1596671999999,1809041785.4,1275,44083.55,643912118.43,0
2020-08-06,14574.0,14625.0,14526.0,14540.0,82069.94,1596758399999,1196577918.97,886,49106.35,716720523.6,0
2020-08-07,14540.0,14700.0,14501.0,14580.0,94060.51,1596844799999,1374089762.72,1305,55539.4,812272265.62,0
2020-08-08,14639.0,14717.0,14575.0,14644.0,85262.43,1596931199999,1250120387.61,817,42407.97,622834984.26,0
2020-08-09,14645.0,14803.0,14644.0,14709.0,86590.17,1597017599999,1273151951.18,824,36092.45,531587405.64,0
2020-08-10,14709.0,14793.0,14572.0,14712.0,117600.64,1597103999999,1726489562.72,1051,41475.44,610399264.67,0
